epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,92.1334,1.0119,6.58033,0.48777,0.73832,1.53032,0.95219,0.97951,0.98837,0.6942,0.21433,0.13115,0.05527,0.00626,1.15101,6.74794,0.40146,0.65681,2.1332,0.00131938,0.00131938,0.00131938
24,95.9785,0.94009,6.65453,0.49005,0.73638,1.48373,0.93734,0.9809,0.97071,0.6969,0.09125,0.08197,0.04572,0.00732,1.13,6.73288,0.31888,0.69261,2.02947,0.00128844,0.00128844,0.00128844
25,99.6191,0.95104,6.57224,0.51187,0.73755,1.47572,0.96643,0.94385,0.98383,0.69157,0.10561,0.09836,0.04595,0.00738,1.04746,6.54733,0.35152,0.6327,1.91484,0.0012575,0.0012575,0.0012575
26,103.424,0.92378,6.65811,0.50023,0.70267,1.47323,0.96154,0.95082,0.98554,0.68667,0.17285,0.18033,0.07006,0.00958,1.10439,6.43487,0.32661,0.67244,2.02767,0.00122656,0.00122656,0.00122656
27,107.347,0.84197,6.35904,0.47814,0.70094,1.42214,0.90847,0.97634,0.97763,0.66176,0.04513,0.04918,0.00995,0.00198,1.30962,7.26615,0.37311,0.88234,2.24197,0.00119562,0.00119562,0.00119562
28,111.534,0.8329,6.1349,0.47195,0.63256,1.39247,0.94986,0.95082,0.99009,0.68439,0.11259,0.11475,0.03412,0.00595,1.18769,6.53031,0.47127,0.63504,2.03947,0.00116469,0.00116469,0.00116469
29,115.197,0.91146,6.36966,0.48121,0.68397,1.43592,0.99418,0.95082,0.99223,0.75315,0.23757,0.2623,0.11578,0.02689,0.98038,5.99456,0.4881,0.5751,1.75832,0.00113375,0.00113375,0.00113375
30,118.757,0.81582,6.45702,0.4741,0.66311,1.384,1,0.99825,0.995,0.76609,0.14631,0.14754,0.05352,0.01554,0.91171,6.44789,0.43284,0.51563,1.75776,0.00110281,0.00110281,0.00110281
31,122.433,0.82572,6.22448,0.45342,0.63596,1.4013,0.98017,0.96721,0.99315,0.69976,0.22449,0.22951,0.09351,0.02154,1.1341,6.149,0.42751,0.60964,2.0135,0.00107187,0.00107187,0.00107187
32,126.532,0.85901,6.52697,0.47052,0.652,1.4058,0.98304,0.95027,0.98513,0.56533,0.13626,0.13115,0.03259,0.0043,1.4248,6.35367,0.44075,0.73514,2.38526,0.00104094,0.00104094,0.00104094
33,130.429,0.83403,6.34969,0.45372,0.63203,1.38696,1,0.9782,0.9941,0.74561,0.25326,0.2459,0.09825,0.01639,0.98167,5.87157,0.45657,0.55406,1.83283,0.00101,0.00101,0.00101
34,134.23,0.84119,6.20874,0.45595,0.6804,1.37851,0.96642,0.98361,0.99357,0.71377,0.24302,0.22951,0.09652,0.02036,1.04721,5.77343,0.40927,0.53169,2.01867,0.000979063,0.000979063,0.000979063
35,138.132,0.78538,6.08576,0.45748,0.64066,1.32949,0.98051,1,0.99484,0.74391,0.24077,0.2459,0.11908,0.01849,0.98461,5.66262,0.31779,0.53088,1.8399,0.000948125,0.000948125,0.000948125
36,142.182,0.8787,6.26034,0.4375,0.70897,1.42711,0.95301,1,0.99321,0.73593,0.20137,0.19672,0.08476,0.01722,0.97978,5.78468,0.35679,0.5092,1.78768,0.000917188,0.000917188,0.000917188
37,145.841,0.7906,6.09543,0.42856,0.65146,1.36675,0.93116,0.96721,0.98186,0.73262,0.12792,0.08197,0.03249,0.0089,0.97463,5.9895,0.38853,0.54971,1.87461,0.00088625,0.00088625,0.00088625
38,149.429,0.78171,6.02995,0.44479,0.60017,1.34672,0.96052,0.95082,0.98204,0.76617,0.27703,0.2623,0.11422,0.01976,0.90637,5.68269,0.34515,0.52486,1.68429,0.000855313,0.000855313,0.000855313
39,153.159,0.78999,5.76719,0.4497,0.61135,1.34046,0.97256,0.96721,0.98825,0.76363,0.21729,0.21311,0.07903,0.01517,0.91621,5.7862,0.31158,0.52553,1.69052,0.000824375,0.000824375,0.000824375
40,157.211,0.74127,5.75674,0.425,0.59866,1.34622,0.93717,0.97816,0.98027,0.75846,0.26893,0.2459,0.11334,0.0179,0.91148,5.64851,0.31718,0.57041,1.68633,0.000793437,0.000793437,0.000793437
41,160.665,0.78897,5.8218,0.4391,0.59291,1.3553,0.96742,1,0.99388,0.76054,0.15645,0.14754,0.04142,0.00843,0.89704,5.83121,0.34991,0.56412,1.70644,0.0007625,0.0007625,0.0007625
42,164.392,0.80727,5.81261,0.43521,0.59172,1.34725,0.93357,0.98361,0.99157,0.72746,0.18457,0.21311,0.06021,0.01154,1.00293,5.58659,0.33554,0.64453,1.70562,0.000731563,0.000731563,0.000731563
43,168.661,0.7853,5.75193,0.42143,0.60964,1.37167,0.98102,1,0.99484,0.78451,0.19273,0.19672,0.09049,0.02064,0.92896,5.62685,0.34283,0.50591,1.68626,0.000700625,0.000700625,0.000700625
44,172.629,0.82689,5.82355,0.41806,0.61051,1.37727,0.98868,0.98361,0.99453,0.78185,0.25607,0.29345,0.16543,0.03625,0.90807,5.53061,0.38202,0.51109,1.63996,0.000669688,0.000669688,0.000669688
45,176.177,0.75346,5.66048,0.44389,0.59796,1.35533,0.99313,0.98361,0.9941,0.80129,0.24081,0.2623,0.13039,0.02988,0.84784,5.52093,0.37208,0.45157,1.60094,0.00063875,0.00063875,0.00063875
46,179.733,0.78552,5.80009,0.43266,0.61583,1.34462,0.99725,1,0.995,0.77941,0.2175,0.22785,0.10804,0.02788,0.88099,5.63571,0.32199,0.4097,1.7019,0.000607812,0.000607812,0.000607812
47,183.708,0.80112,5.73098,0.42685,0.64479,1.38294,0.99459,1,0.995,0.77665,0.20315,0.19672,0.09686,0.02306,0.83962,5.62047,0.28984,0.40003,1.60633,0.000576875,0.000576875,0.000576875
48,187.543,0.69414,5.68063,0.42302,0.58682,1.29447,0.99823,1,0.995,0.78167,0.19994,0.21311,0.0974,0.02398,0.88257,5.55864,0.29109,0.46566,1.65154,0.000545937,0.000545937,0.000545937
49,191.296,0.71663,5.23163,0.40894,0.58095,1.27974,0.99751,1,0.995,0.79328,0.21355,0.21311,0.15809,0.03394,0.83375,5.41055,0.28584,0.42947,1.56606,0.000515,0.000515,0.000515
50,195.051,0.70811,5.74279,0.41209,0.54974,1.3295,0.99846,1,0.995,0.79443,0.2125,0.21311,0.13744,0.02764,0.79417,5.55304,0.33125,0.42666,1.51463,0.000484063,0.000484063,0.000484063
51,198.87,0.75726,5.5982,0.42223,0.58972,1.36603,1,0.982,0.99484,0.79587,0.25631,0.28255,0.17076,0.03473,0.79559,5.4474,0.3065,0.44257,1.50804,0.000453125,0.000453125,0.000453125
52,202.622,0.693,5.41704,0.40612,0.56002,1.27172,0.98127,1,0.99484,0.79833,0.33758,0.34426,0.21936,0.04272,0.83164,5.33049,0.28099,0.41541,1.54343,0.000422187,0.000422187,0.000422187
53,206.032,0.68277,5.47589,0.40537,0.54131,1.31071,0.99239,1,0.995,0.7706,0.33939,0.34426,0.20982,0.05289,0.87123,5.11477,0.24562,0.42186,1.63453,0.00039125,0.00039125,0.00039125
54,209.916,0.6563,5.4514,0.39675,0.50249,1.25101,0.98213,1,0.99484,0.75544,0.36326,0.36066,0.22051,0.05122,0.9361,5.12649,0.24217,0.47891,1.74967,0.000360313,0.000360313,0.000360313
55,229.489,0.61415,5.50991,0.36704,0.61533,1.33451,0.99861,1,0.995,0.77849,0.16567,0.16393,0.06794,0.01367,0.88583,5.47162,0.22533,0.43115,1.67003,0.000329375,0.000329375,0.000329375
56,233.355,0.55128,5.31773,0.32832,0.37299,1.30791,0.95144,0.96363,0.98441,0.69254,0.18537,0.18033,0.08164,0.0118,1.03629,5.42911,0.18478,0.46011,1.95452,0.000298438,0.000298438,0.000298438
57,237.304,0.6125,5.31027,0.31416,0.40624,1.3412,0.98181,1,0.99484,0.7749,0.24532,0.22951,0.09546,0.0166,0.87717,5.34986,0.19578,0.42495,1.60971,0.0002675,0.0002675,0.0002675
58,241.128,0.54859,5.19781,0.29442,0.34123,1.32132,1,0.99904,0.995,0.74953,0.45495,0.44262,0.2623,0.06193,0.92943,5.09357,0.18225,0.45199,1.71028,0.000236562,0.000236562,0.000236562
59,245.58,0.4878,4.99209,0.25894,0.31901,1.24458,0.99519,1,0.995,0.77923,0.42163,0.40984,0.20851,0.05067,0.84356,5.02429,0.17803,0.43498,1.59533,0.000205625,0.000205625,0.000205625
60,249.401,0.51241,5.11724,0.26853,0.34042,1.24984,0.99756,1,0.995,0.78721,0.31268,0.31148,0.14891,0.03827,0.84928,5.0198,0.17836,0.4043,1.59987,0.000174688,0.000174688,0.000174688
61,253.134,0.5244,5.00561,0.27783,0.3099,1.34286,0.98148,1,0.99484,0.79192,0.36645,0.36066,0.18358,0.04428,0.86683,5.07289,0.17991,0.40607,1.60472,0.00014375,0.00014375,0.00014375
62,257.15,0.46228,4.94072,0.26127,0.30746,1.2345,0.9973,1,0.995,0.78743,0.34652,0.34426,0.16959,0.04305,0.85629,5.02989,0.1689,0.40924,1.57181,0.000112812,0.000112812,0.000112812
63,261.527,0.46123,4.93467,0.26489,0.30383,1.23869,1,0.99587,0.995,0.78743,0.43088,0.42623,0.25661,0.05635,0.84014,4.95998,0.15989,0.42172,1.54921,8.1875e-05,8.1875e-05,8.1875e-05
64,266.364,0.47193,4.90053,0.24409,0.29934,1.24561,1,0.99659,0.995,0.79416,0.43063,0.42623,0.24984,0.05544,0.81325,4.9514,0.15478,0.41011,1.52507,5.09375e-05,5.09375e-05,5.09375e-05
