epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70348,1.5545,10.5381,0.71071,1.25567,1.99301,0.91245,0.90164,0.97779,0.55258,0,0,0,0,1.4034,11.1745,0.67988,0.80965,2.40358,0.00026,0.00026,0.00026
2,11.5531,1.09753,9.81063,0.70004,0.86097,1.57436,0.93402,0.95082,0.97425,0.53583,0,0,0,0,1.44684,11.0968,0.66241,0.86411,2.56412,0.000531647,0.000531647,0.000531647
3,15.6774,1.15396,9.36807,0.69229,0.92584,1.67031,0.66229,0.85246,0.72503,0.24261,0,0,0,0,2.30206,10.5247,0.59814,1.68375,3.82109,0.000794631,0.000794631,0.000794631
4,20.0287,1.19669,9.06877,0.67276,0.94765,1.67291,0.81131,0.85246,0.86467,0.43831,0,0,0,0,1.70822,9.47093,0.5114,1.29682,3.03161,0.00104895,0.00104895,0.00104895
5,24.0925,1.15819,8.60237,0.6423,0.93344,1.62027,0.50723,0.74252,0.68304,0.29631,0,0,0,0,2.16505,9.71362,0.54504,2.35596,3.49491,0.00129461,0.00129461,0.00129461
6,27.8334,1.17725,8.51488,0.6231,0.92178,1.69557,0.45964,0.68852,0.57591,0.16505,0,0,0,0,2.60746,9.65071,0.47186,2.19375,4.03716,0.00153161,0.00153161,0.00153161
7,31.6078,1.10455,8.35461,0.60998,0.84516,1.59981,0.75245,0.84714,0.84519,0.46371,0,0,0,0,1.7209,9.04922,0.43457,1.09513,3.17435,0.00175994,0.00175994,0.00175994
8,35.4661,1.21901,8.44487,0.5886,0.90105,1.67524,0.70642,0.54098,0.60778,0.20281,0,0,0,0,2.45849,8.7362,0.4376,3.00998,3.54447,0.00178344,0.00178344,0.00178344
9,39.0502,1.13018,8.36111,0.59703,0.88701,1.61191,0.82256,0.86885,0.89497,0.50167,0,0,0,0,1.5992,8.68619,0.41602,1.26638,2.76668,0.0017525,0.0017525,0.0017525
10,42.6432,1.03969,7.7377,0.58024,0.83691,1.52474,0.76281,0.80328,0.84928,0.31676,0,0,0,0,2.12211,8.12038,0.40197,1.19,3.37602,0.00172156,0.00172156,0.00172156
11,46.4859,1.05017,7.8437,0.57807,0.81816,1.54873,0.67849,0.88525,0.82079,0.32461,0,0,0,0,1.75441,8.67269,0.45365,1.36877,2.82876,0.00169063,0.00169063,0.00169063
12,50.593,1.04067,7.57465,0.57218,0.82078,1.54596,0.81305,0.95082,0.94455,0.58947,0.00188,0.01639,0.00099,0.0001,1.35313,8.85792,0.50792,0.95608,2.63857,0.00165969,0.00165969,0.00165969
13,54.367,1.00056,7.59701,0.55742,0.74825,1.48757,0.8068,0.85246,0.90343,0.56219,0.00146,0.01639,0.00078,0.00016,1.55286,8.10363,0.59126,1.35523,2.80217,0.00162875,0.00162875,0.00162875
14,57.8695,1.0193,7.52246,0.5578,0.79433,1.51699,0.83918,0.86885,0.93723,0.65724,0.03007,0.01639,0.00101,0.0001,1.13705,7.84052,0.53981,1.00879,2.33719,0.00159781,0.00159781,0.00159781
15,62.0003,1.01361,7.58312,0.53339,0.80435,1.53081,0.83842,0.96721,0.96179,0.67798,0.03823,0.03279,0.0024,0.00024,1.07228,7.77729,0.56093,0.93405,2.12839,0.00156688,0.00156688,0.00156688
16,65.9758,0.98948,7.24716,0.51859,0.78845,1.5303,0.89366,0.96442,0.96737,0.64176,0.0059,0.01639,0.00045,5e-05,1.28379,8.33898,0.51223,0.81923,2.39191,0.00153594,0.00153594,0.00153594
17,69.6457,1.08261,7.28266,0.54221,0.88638,1.59854,0.91575,0.95082,0.97752,0.62611,0.00111,0.01639,0.00067,0.00013,1.28155,7.53762,0.49875,0.84593,2.23669,0.001505,0.001505,0.001505
18,73.3014,0.98074,7.03388,0.5481,0.79511,1.47918,0.93897,0.98361,0.98927,0.58279,0.05274,0.06557,0.02313,0.00263,1.36915,7.20304,0.45116,0.97421,2.42181,0.00147406,0.00147406,0.00147406
19,76.8883,0.94876,7.05714,0.51349,0.76335,1.48364,0.94801,0.98361,0.97638,0.48357,0.04483,0.06557,0.00873,0.00139,1.56812,7.25275,0.45743,0.84274,2.76444,0.00144312,0.00144312,0.00144312
20,81.0986,0.9523,6.93208,0.50739,0.78246,1.49653,0.95535,0.98361,0.98569,0.65325,0.05018,0.04918,0.00662,0.00084,1.21289,7.53829,0.4792,0.69643,2.28194,0.00141219,0.00141219,0.00141219
21,84.7984,0.93251,7.03796,0.51542,0.75037,1.45773,0.92011,1,0.98421,0.68304,0.00387,0.03279,0.00213,0.00031,1.15214,7.60066,0.61576,0.6429,2.0432,0.00138125,0.00138125,0.00138125
22,88.4748,0.89359,6.68331,0.5107,0.70182,1.43161,0.89804,0.86637,0.9395,0.62895,0.08664,0.04918,0.01097,0.00171,1.25644,7.17354,0.50261,0.79592,2.25382,0.00135031,0.00135031,0.00135031
