epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1536.29,0.86536,6.30742,0.4653,0.68711,1.4075,0.95408,0.98361,0.99322,0.72383,0.10022,0.08197,0.02349,0.00613,1.07656,6.26738,0.47312,0.54886,1.98238,0.00116469,0.00116469,0.00116469
29,1591.11,0.85167,6.40777,0.46662,0.66314,1.39648,0.966,0.98361,0.99129,0.72051,0.22206,0.21311,0.08981,0.01242,1.11043,5.8662,0.46341,0.53398,1.92953,0.00113375,0.00113375,0.00113375
30,1645.62,0.88884,6.07013,0.46451,0.67532,1.40537,0.9086,0.9779,0.98491,0.70154,0.1943,0.19672,0.07294,0.01251,1.06615,5.74702,0.34881,0.5857,1.93959,0.00110281,0.00110281,0.00110281
31,1700.52,0.90703,6.22772,0.4464,0.66852,1.45508,0.93627,0.96333,0.97556,0.65355,0.1931,0.19672,0.08169,0.0167,1.24259,5.90764,0.32273,0.72933,2.03747,0.00107187,0.00107187,0.00107187
32,1755.93,0.90765,6.1541,0.43699,0.70757,1.4421,0.99667,1,0.995,0.76993,0.09907,0.09836,0.0231,0.00514,0.88695,6.01958,0.32758,0.51203,1.72618,0.00104094,0.00104094,0.00104094
33,1810.46,0.86221,5.9612,0.42912,0.65125,1.3951,0.9885,0.98361,0.99142,0.74479,0.19342,0.14754,0.05309,0.00965,0.97799,5.72119,0.31426,0.58938,1.78423,0.00101,0.00101,0.00101
34,1865.06,0.85508,5.98741,0.43229,0.64063,1.41052,0.99616,1,0.995,0.74743,0.14708,0.14754,0.07856,0.01337,1.00254,5.97219,0.29071,0.52531,1.8205,0.000979063,0.000979063,0.000979063
35,1919.82,0.81319,5.86542,0.44396,0.60925,1.37957,0.96821,1,0.99452,0.72068,0.1501,0.11475,0.05627,0.0088,1.06117,5.9873,0.26055,0.52894,1.85831,0.000948125,0.000948125,0.000948125
36,1974.46,0.82111,5.80431,0.43633,0.65983,1.37822,0.96813,0.99616,0.99355,0.7556,0.25734,0.2623,0.12437,0.02276,0.9598,5.65586,0.33317,0.51328,1.73021,0.000917188,0.000917188,0.000917188
37,2028.82,0.83932,5.85662,0.43886,0.66293,1.39116,0.9655,1,0.99371,0.76577,0.17447,0.18033,0.05719,0.00796,0.9605,5.99054,0.43401,0.49365,1.75908,0.00088625,0.00088625,0.00088625
38,2083.72,0.82304,5.91611,0.43604,0.66151,1.40114,0.97715,1,0.99435,0.76484,0.12993,0.13115,0.04757,0.00925,0.93249,5.76008,0.30571,0.46921,1.67401,0.000855313,0.000855313,0.000855313
39,2138.41,0.78872,5.60264,0.43077,0.5936,1.32882,0.98176,0.98361,0.98672,0.73653,0.26532,0.2623,0.13046,0.0273,0.9625,5.57637,0.302,0.47292,1.75068,0.000824375,0.000824375,0.000824375
